Krok czasowy;Powierzchnia lewa;Powierzchnia prawa
500;30,65;222,14
501;30,67;222,23
502;30,70;222,33
503;30,72;222,42
504;30,74;222,51
505;30,77;222,61
506;30,79;222,70
507;30,81;222,79
508;30,84;222,88
509;30,86;222,97
510;30,89;223,06
511;30,91;223,15
512;30,93;223,24
513;30,96;223,33
514;30,98;223,42
515;31,00;223,51
516;31,03;223,60
517;31,05;223,68
518;31,07;223,77
519;31,10;223,86
520;31,12;223,94
521;31,14;224,03
522;31,17;224,12
523;31,19;224,20
524;31,22;224,28
525;31,24;224,37
526;31,26;224,45
527;31,29;224,54
528;31,31;224,62
529;31,33;224,70
530;31,36;224,78
531;31,38;224,87
532;31,40;224,95
533;31,43;225,03
534;31,45;225,11
535;31,47;225,19
536;31,50;225,27
537;31,52;225,35
538;31,54;225,43
539;31,57;225,51
540;31,59;225,59
541;31,61;225,66
542;31,64;225,74
543;31,66;225,82
544;31,68;225,90
545;31,70;225,97
546;31,73;226,05
547;31,75;226,12
548;31,77;226,20
549;31,80;226,27
550;31,82;226,35
551;31,84;226,42
552;31,87;226,50
553;31,89;226,57
554;31,91;226,64
555;31,94;226,72
556;31,96;226,79
557;31,98;226,86
558;32,00;226,93
559;32,03;227,01
560;32,05;227,08
561;32,07;227,15
562;32,10;227,22
563;32,12;227,29
564;32,14;227,36
565;32,16;227,43
566;32,19;227,50
567;32,21;227,57
568;32,23;227,64
569;32,26;227,70
570;32,28;227,77
571;32,30;227,84
572;32,32;227,91
573;32,35;227,97
574;32,37;228,04
575;32,39;228,11
576;32,41;228,17
577;32,44;228,24
578;32,46;228,30
579;32,48;228,37
580;32,50;228,43
581;32,53;228,50
582;32,55;228,56
583;32,57;228,63
584;32,59;228,69
585;32,62;228,75
586;32,64;228,82
587;32,66;228,88
588;32,68;228,94
589;32,71;229,00
590;32,73;229,07
591;32,75;229,13
592;32,77;229,19
593;32,80;229,25
594;32,82;229,31
595;32,84;229,37
596;32,86;229,43
597;32,89;229,49
598;32,91;229,55
599;32,93;229,61
600;32,95;229,67
601;32,97;229,73
602;33,00;229,79
603;33,02;229,84
604;33,04;229,90
605;33,06;229,96
606;33,09;230,02
607;33,11;230,07
608;33,13;230,13
609;33,15;230,19
610;33,17;230,24
611;33,20;230,30
612;33,22;230,36
613;33,24;230,41
614;33,26;230,47
615;33,28;230,52
616;33,31;230,58
617;33,33;230,63
618;33,35;230,68
619;33,37;230,74
620;33,39;230,79
621;33,42;230,85
622;33,44;230,90
623;33,46;230,95
624;33,48;231,00
625;33,50;231,06
626;33,52;231,11
627;33,55;231,16
628;33,57;231,21
629;33,59;231,26
630;33,61;231,31
631;33,63;231,37
632;33,65;231,42
633;33,68;231,47
634;33,70;231,52
635;33,72;231,57
636;33,74;231,62
637;33,76;231,67
638;33,78;231,72
639;33,81;231,76
640;33,83;231,81
